skill_name,skill_url
Personal Branding,http://www.linkedin.com/skills/skill/Personal_Branding
Lecturing,http://www.linkedin.com/skills/skill/Lecturing
Facebook,http://www.linkedin.com/skills/skill/Facebook
Web Marketing,http://www.linkedin.com/skills/skill/Web_Marketing
Social Media Consulting,http://www.linkedin.com/skills/skill/Social_Media_Consulting
Strategy,http://www.linkedin.com/skills/skill/Strategy
Job Search Strategies,http://www.linkedin.com/skills/skill/Job_Search_Strategies
Social Marketing,http://www.linkedin.com/skills/skill/Social_Marketing
Team Management,http://www.linkedin.com/skills/skill/Team_Management
Online Presence,http://www.linkedin.com/skills/skill/Online_Presence
Talent Mining,http://www.linkedin.com/skills/skill/Talent_Mining
Content Management,http://www.linkedin.com/skills/skill/Content_Management
Web 2.0,http://www.linkedin.com/skills/skill/Web_2.0
Community Management,http://www.linkedin.com/skills/skill/Community_Management
Social Media Coach,http://www.linkedin.com/skills/skill/Social_Media_Coach
Internet Presence,http://www.linkedin.com/skills/skill/Internet_Presence
Management Consulting,http://www.linkedin.com/skills/skill/Management_Consulting
Coaching,http://www.linkedin.com/skills/skill/Coaching
Business Planning,http://www.linkedin.com/skills/skill/Business_Planning
Organizational Development,http://www.linkedin.com/skills/skill/Organizational_Development
Strategic Planning,http://www.linkedin.com/skills/skill/Strategic_Planning
Negotiation,http://www.linkedin.com/skills/skill/Negotiation
Problem Solving,http://www.linkedin.com/skills/skill/Problem_Solving
Product Marketing,http://www.linkedin.com/skills/skill/Product_Marketing
Executive Management,http://www.linkedin.com/skills/skill/Executive_Management
Cloud Computing,http://www.linkedin.com/skills/skill/Cloud_Computing
Account Management,http://www.linkedin.com/skills/skill/Account_Management
Competitive Analysis,http://www.linkedin.com/skills/skill/Competitive_Analysis
Project Management,http://www.linkedin.com/skills/skill/Project_Management
CRM,http://www.linkedin.com/skills/skill/CRM
SaaS,http://www.linkedin.com/skills/skill/SaaS
Operations Management,http://www.linkedin.com/skills/skill/Operations_Management
Team Building,http://www.linkedin.com/skills/skill/Team_Building
Change Management,http://www.linkedin.com/skills/skill/Change_Management
Business Intelligence,http://www.linkedin.com/skills/skill/Business_Intelligence
Outsourcing,http://www.linkedin.com/skills/skill/Outsourcing
International Business,http://www.linkedin.com/skills/skill/International_Business
Budgets,http://www.linkedin.com/skills/skill/Budgets
Business Analysis,http://www.linkedin.com/skills/skill/Business_Analysis
Contract Negotiation,http://www.linkedin.com/skills/skill/Contract_Negotiation
Cross-functional Team Leadership,http://www.linkedin.com/skills/skill/Cross-functional_Team_Leadership
Program Management,http://www.linkedin.com/skills/skill/Program_Management
Project Planning,http://www.linkedin.com/skills/skill/Project_Planning
Emerging Technologies,http://www.linkedin.com/skills/skill/Emerging_Technologies
Email,http://www.linkedin.com/skills/skill/Email
Sales Intelligence,http://www.linkedin.com/skills/skill/Sales_Intelligence
Mobile Internet,http://www.linkedin.com/skills/skill/Mobile_Internet
Mobile Marketing,http://www.linkedin.com/skills/skill/Mobile_Marketing
Marketing Management,http://www.linkedin.com/skills/skill/Marketing_Management
Social Commerce,http://www.linkedin.com/skills/skill/Social_Commerce
Love to Cook,http://www.linkedin.com/skills/skill/Love_to_Cook
Foodie,http://www.linkedin.com/skills/skill/Foodie
People-oriented,http://www.linkedin.com/skills/skill/People-oriented
Enterprise Software,http://www.linkedin.com/skills/skill/Enterprise_Software
Partnerships,http://www.linkedin.com/skills/skill/Partnerships
Mobile Technology,http://www.linkedin.com/skills/skill/Mobile_Technology
Embedded Systems,http://www.linkedin.com/skills/skill/Embedded_Systems
Embedded Software,http://www.linkedin.com/skills/skill/Embedded_Software
Software Project Management,http://www.linkedin.com/skills/skill/Software_Project_Management
Financial Modeling,http://www.linkedin.com/skills/skill/Financial_Modeling
C#,http://www.linkedin.com/skills/skill/C#
Spanish,http://www.linkedin.com/skills/skill/Spanish
Product Strategy,http://www.linkedin.com/skills/skill/Product_Strategy
Microsoft Excel,http://www.linkedin.com/skills/skill/Microsoft_Excel
Client Service,http://www.linkedin.com/skills/skill/Client_Service
MBA,http://www.linkedin.com/skills/skill/MBA
Specman,http://www.linkedin.com/skills/skill/Specman
Computer Engineering,http://www.linkedin.com/skills/skill/Computer_Engineering
SoC,http://www.linkedin.com/skills/skill/SoC
Embedded C,http://www.linkedin.com/skills/skill/Embedded_C
PowerPoint,http://www.linkedin.com/skills/skill/PowerPoint
Customer Support,http://www.linkedin.com/skills/skill/Customer_Support
English,http://www.linkedin.com/skills/skill/English
Hebrew,http://www.linkedin.com/skills/skill/Hebrew
Agile Methodologies,http://www.linkedin.com/skills/skill/Agile_Methodologies
Systems Analysis,http://www.linkedin.com/skills/skill/Systems_Analysis
Software System Analysis,http://www.linkedin.com/skills/skill/Software_System_Analysis
Databases,http://www.linkedin.com/skills/skill/Databases
PL/SQL,http://www.linkedin.com/skills/skill/PL/SQL
XML,http://www.linkedin.com/skills/skill/XML
Python,http://www.linkedin.com/skills/skill/Python
Django,http://www.linkedin.com/skills/skill/Django
Quantitative Analytics,http://www.linkedin.com/skills/skill/Quantitative_Analytics
Quantitative Investing,http://www.linkedin.com/skills/skill/Quantitative_Investing
Matlab,http://www.linkedin.com/skills/skill/Matlab
R,http://www.linkedin.com/skills/skill/R
DDD,http://www.linkedin.com/skills/skill/DDD
Quantitative Analysis,http://www.linkedin.com/skills/skill/Quantitative_Analysis
Mathematics,http://www.linkedin.com/skills/skill/Mathematics
Microsoft SQL Server,http://www.linkedin.com/skills/skill/Microsoft_SQL_Server
Integration,http://www.linkedin.com/skills/skill/Integration
Web Development,http://www.linkedin.com/skills/skill/Web_Development
ASP.NET,http://www.linkedin.com/skills/skill/ASP.NET
Database Design,http://www.linkedin.com/skills/skill/Database_Design
PHP,http://www.linkedin.com/skills/skill/PHP
Programming,http://www.linkedin.com/skills/skill/Programming
ExtJS,http://www.linkedin.com/skills/skill/ExtJS
jQuery,http://www.linkedin.com/skills/skill/jQuery
Apache,http://www.linkedin.com/skills/skill/Apache
PHP4/5,http://www.linkedin.com/skills/skill/PHP4/5
Zend Framework,http://www.linkedin.com/skills/skill/Zend_Framework
Hg,http://www.linkedin.com/skills/skill/Hg
Git,http://www.linkedin.com/skills/skill/Git
Subversion,http://www.linkedin.com/skills/skill/Subversion
Redmine,http://www.linkedin.com/skills/skill/Redmine
Yii,http://www.linkedin.com/skills/skill/Yii
Symfony,http://www.linkedin.com/skills/skill/Symfony
mysql,http://www.linkedin.com/skills/skill/mysql
Require.js,http://www.linkedin.com/skills/skill/Require.js
